评论标题,评论内容,标签
业绩不错，为啥跌的如此厉害亏大了,业绩不错，为啥跌的如此厉害[亏大了],负向
愉快,愉快,正向
浦发是庄股了！每天成交量好少！,浦发是庄股了！每天成交量好少！,负向
有没有人想过，过了3300，赚一笔就跑的,是不是和2015年6月份时候，认为大盘5100还要上攻，是同样的死法？ 历史总是惊人的相同[大笑],中性
开盘5分钟,1：股指期货：翻红上冲中，较好。 2：沪深两市：两市纷纷高开，主板和创业板暂时持平，盘中预计会有分化。 3：资金出货情况：1亿，很少 4：个股表现：涨跌不一，表现尚可 5：护盘主力,中性
金子火腿下午涨停,金子火腿下午涨停,正向
出上证,出上证,中性
情到深处8不是我，别紧张得什么都张冠李戴。我跟你比资金，有意思吗,“情到深处8” 不是我，别紧张得什么都张冠李戴。 我跟你比资金，有意思吗？,负向
Y银行要大涨,Y银行要大涨,正向
上百亿,上百亿“,中性
没意思，这点量调动不起丝毫的冲动。,打牌去了，哈哈。昨蠃一百七，还亏一百一，继续努力。,负向
拉不起来了吧，该跌的还是要跌大笑大笑,必上3060,负向
为什么为什么为什么为什么。,[为什么][为什么][为什么][为什么]。,负向
华建集团股份：半年利润增长500%PPP概念股即将狂飙,2016年半年报尘埃落定，如同潮水褪去，看到谁在裸泳，真正的好股及机构关注的焦点，开始浮出水面，值得深挖。  华建集团（600629）：中国国宝级建筑设计龙头 国内第一  东方明珠，央视大裤衩，上海环球金融中心，南京紫峰，国家图书馆都是华建集团（600629）设计的。母公司现代设...,正向
土地黑牛最多,土地黑牛最多,正向
大山师父节日好,大山师父 节日好,中性
可怜的投资者往往还在期待像过去那样上天，有机会不逃跑可能就是上西天微笑，真正好的你发现不了，你拿到的往往就是地雷,可怜的投资者往往还在期待像过去那样上天，有机会不逃跑可能就是上西天[微笑]，真正好的你发现不了，你拿到的往往就是地雷,负向
复盘补跌，以后就正常了,复盘补跌，以后就正常了,中性
众多个股均被产业资本清仓式甩卖,众多个股均被产业资本清仓式甩卖,负向
公司发展战略,公司发展战略,中性
此票日线无底部，所以上涨动能不大。目前30分钟线上方构成头部，而底部并未形成，需要继续向下刷新30分钟线新低。,此票日线无底部，所以上涨动能不大。目前30分钟线上方构成头部，而底部并未形成，需要继续向下刷新30分钟线新低。,负向
谁都不服就服你不涨,谁都不服就服你不涨,负向
维生素D3价格上涨5倍有望冲破历史高位受益股,一根穿云箭，千军万马来相见。老乡别跑……嘻嘻,正向
批发价昆药集团中医第一股，买到就是赚到,该换药了，批发价600422昆药集团中医第一股，买到就是赚到,正向
资本市场研究人士：问题股与恶庄股闪崩跌出了市场正气,最近，A股闪崩个股不断，笔者认为，在目前监管趋严、投资风格逐渐向价值投资转换阶段，一些过度偏离内在价值的个股出现闪崩，实质是价值回归。,负向
海辰药业,海辰药业,中性
分红都说了快两个月了。难道就不打算兑现吗浦发银行这两个月跌了多少靠,分红都说了快两个月了。难道就不打算兑现吗？浦发银行这两个月跌了多少？靠,负向
中国银监会竟然批准造假的浦发银行公司注册资本扩充到290亿,坑害投资者,负向
今日大盘走出了震荡调整的行情。,今日大盘走出了震荡调整的行情。,正向
本没什么本没什么,本没什么本没什么,负向
千万别把自己当根葱,在吧里天天炫，总有一天撞南墙,负向
节后会不会像格力一样跌停啊。,节后会不会像格力一样跌停啊。,负向
股潜力大,股潜力大,正向
对资产负债率较高,对资产负债率较高,负向
而这可能导致炼油厂所加工的石油将有更多来自委内瑞拉,而这可能导致炼油厂所加工的石油将有更多来自委内瑞拉,中性
浦发现在是寡头和散户在玩,浦发现在是寡头和散户在玩,中性
浦发现在该贪婪还是恐惧在机构贪婪时卖出，在恐惧时买入。还会测试前低吗,浦发现在该贪婪还是恐惧？在机构贪婪时卖出，在恐惧时买入。还会测试前低吗？,负向
上海信托迟早要独立上市,上海国际一定会这样做。,正向
死拿闲庭先生的二康，等待翻番。,死拿闲庭先生的二康，等待翻番。,正向
什么股都涨，就不涨银行,什么股都涨，就不涨银行,负向
大单净流入超亿元,大单净流入超亿元,正向
银行保,银行、保,中性
会：筹建期间股东不得转让,会：筹建期间股东不得转让会：筹建期间股东不得转让,中性
高送转是否还能延续传奇,高送转是否还能延续传奇,中性
最近買了發哥，哭暈在廁所。,最近買了發哥，哭暈在廁所。,负向
银行股人数在增加，股价在跨，整体情况不妙，原因何在現金不多，如何应对微笑,银行股人数在增加，股价在跨，整体情况不妙，原因何在？現金不多，如何应对？[微笑][微笑][献花][献花][献花],负向
0710隔行评论不认领,0710 隔行评论 不认领,负向
关注季线下跌这笔，能否形成三买,关注季线下跌这笔，能否形成三买,中性
浦发坚持天天向上。,浦发坚持天天向上。,正向
本人的银行股组合，从2016年2月初到现在几乎未操作，目前盈利10。上两张图给大家看看，希望给银粉们增加信心,本人的银行股组合，从2016年2月初到现在几乎未操作，目前盈利10％。上两张图给大家看看，希望给银粉们增加信心,正向
股市到底是谁的股市？刚要上涨就有人跳出来叫骂,股市到底是谁的股市？刚要上涨就有人跳出来叫骂,负向
像脱肛一样,使劲揉一揉就收上去一点，轻轻一松手又脱落下来。[大笑],负向
不经历风雨，怎么见彩虹！！！,不经历风雨，怎么见彩虹 ！！！  ......世界上没有只涨不跌的大盘与股票，也没有只跌不涨的大盘与股票......  大多做空是因为恐惧，大多做空后的拼命喊空，只是为了随后攫取带血筹码，人心的狭隘丑陋自私赤裸裸......  因为只有购买进并持有股票，日后上涨了的股价才与之有关...,正向
当主流资金向部分板块和个股中流动时,当主流资金向部分板块和个股中流动时,中性
北京再挂6宗地宅地限定,凹地舌尖品感 [16股],中性
周总请了50亿先生吴京代言,周总请了50亿先生吴京代言,中性
呵呵，浦发银行真强！但我还是坚守中国平安，择机加仓！比银行增长快，比创业板更稳定,呵呵，浦发银行真强！但我还是坚守中国平安，择机加仓！比银行增长快，比创业板更稳定赢利，这就是保险行业！拿好中国平安。,正向
多点赞一下，多顶一下，主力就多送一个一字板！,多点赞一下，多顶一下，主力就多送一个一字板！,正向
要跌就跌到底,要跌就跌到底,负向
终于跑出来了,终于跑出来了,负向
两个板块，次新股和锂电池，炒完锂电,两个板块，次新股和锂电池，炒完锂电,正向
今天高点3174点，参考。,12,中性
跳水真尼玛快,跳水真尼玛快,负向
雪姐去哪了,大概没人知道我说啥，但一定有明白的。就是这么可怕，我们这辈子人永远搞不懂，这些人到底为了啥，为名吗？可他们对证券市场知识的缺乏已注定很难成功！！！！！！,负向
300116将成深沪股市最大的黑马股之一严重关注,300116将成深沪股市最大的黑马股之一 严重关注,正向
这批资金异常凶猛，可能是炒房资金,没有这么做股票的。,正向
麟凤龟龙,麟凤龟龙,中性
这是银行股么,我有点怀疑人生了,负向
又是昙花一现。,又是昙花一现。,负向
油价这么低是发生了什么是社融断崖么,油价这么低是发生了什么？是社融断崖么？,负向
等反弹出局换股做好止损,等反弹出局换股 做好止损,负向
垃圾行，继续垫底。,垃圾行，继续垫底。,负向
白云电器买进的重点关注，没进的切勿追高,白云电器买进的重点关注，没进的切勿追高,中性
002476宝莫化工滞涨,来来　看看　300179　　002476宝莫　化工滞涨　　资产注入预期,中性
招行逾期贷款率1.74%重组贷款率0.51%，合计2.25%；浦发逾期贷款率2,招行逾期贷款率1.74%、重组贷款率0.51%，合计2.25%；浦发逾期贷款率2.8%、重组贷款率0.02%，合计2.82%。相对于不良贷款率，这是硬指标。结合最新估值，招行TTM市盈率10倍，浦发TTM市盈率5.85倍，各位自己判断。 至于时不时冒出来的监管处罚和罚款，行业监管...,负向
熔断机制应该这么设计,熔断机制应该这么设计： 1.取消T+1改为T+0； 2.取消10%涨跌停限制； 3.取消上涨熔断； 4.当天触发7%下跌熔断时，停止卖出交易，只准买进，直至收盘。 看谁还敢恶意做空？,中性
