用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
5.8年,星辰大海12639,浦发银行(600000.sh),业绩不错，为啥跌的如此厉害亏大了,业绩不错，为啥跌的如此厉害[亏大了],2019/10/30 13:19,负向,-1
8.8年,高天运,浦发银行(600000.sh),愉快,愉快,2016/7/28 17:49,正向,1
6.9年,面包二米粥,浦发银行(600000.sh),浦发是庄股了！每天成交量好少！,浦发是庄股了！每天成交量好少！,2016/12/4 9:33,负向,-1
10.3年,股友O9700I7223,浦发银行(600000.sh),有没有人想过，过了3300，赚一笔就跑的,是不是和2015年6月份时候，认为大盘5100还要上攻，是同样的死法？ 历史总是惊人的相同[大笑],2017/4/19 10:30,中性,0
7年,股市扁鹊8956,浦发银行(600000.sh),开盘5分钟,1：股指期货：翻红上冲中，较好。 2：沪深两市：两市纷纷高开，主板和创业板暂时持平，盘中预计会有分化。 3：资金出货情况：1亿，很少 4：个股表现：涨跌不一，表现尚可 5：护盘主力,2016/2/16 9:53,中性,0
7.1年,阿飞ki,浦发银行(600000.sh),金子火腿下午涨停,金子火腿下午涨停,2017/6/14 11:24,正向,1
7.1年,wendongt,浦发银行(600000.sh),出上证,出上证,2018/5/30 19:58,中性,0
7.5年,gangye01,浦发银行(600000.sh),情到深处8不是我，别紧张得什么都张冠李戴。我跟你比资金，有意思吗,“情到深处8” 不是我，别紧张得什么都张冠李戴。 我跟你比资金，有意思吗？,2017/4/21 15:08,负向,-1
6.8年,办法第三个7462,浦发银行(600000.sh),Y银行要大涨,Y银行要大涨,2016/6/29 10:06,正向,1
6.9年,xkphuang,浦发银行(600000.sh),上百亿,上百亿“,2016/7/25 19:48,中性,0
8.1年,铁血A老窦5548,浦发银行(600000.sh),没意思，这点量调动不起丝毫的冲动。,打牌去了，哈哈。昨蠃一百七，还亏一百一，继续努力。,2016/5/19 15:53,负向,-1
6.5年,星雨随风,浦发银行(600000.sh),拉不起来了吧，该跌的还是要跌大笑大笑,必上3060,2017/6/22 15:32,负向,-1
4.4年,股友PgBDRf,浦发银行(600000.sh),为什么为什么为什么为什么。,[为什么][为什么][为什么][为什么]。,2017/12/24 12:48,负向,-1
6.1年,我的痛谁知道8356,浦发银行(600000.sh),华建集团股份：半年利润增长500%PPP概念股即将狂飙,2016年半年报尘埃落定，如同潮水褪去，看到谁在裸泳，真正的好股及机构关注的焦点，开始浮出水面，值得深挖。  华建集团（600629）：中国国宝级建筑设计龙头 国内第一  东方明珠，央视大裤衩，上海环球金融中心，南京紫峰，国家图书馆都是华建集团（600629）设计的。母公司现代设...,2016/9/6 17:16,正向,1
6.9年,sad打算个9382,浦发银行(600000.sh),土地黑牛最多,土地黑牛最多,2017/4/6 10:07,正向,1
5.1年,股友Y14ChR7428,浦发银行(600000.sh),大山师父节日好,大山师父 节日好,2017/4/3 14:00,中性,0
14.8年,理性投资者,浦发银行(600000.sh),可怜的投资者往往还在期待像过去那样上天，有机会不逃跑可能就是上西天微笑，真正好的你发现不了，你拿到的往往就是地雷,可怜的投资者往往还在期待像过去那样上天，有机会不逃跑可能就是上西天[微笑]，真正好的你发现不了，你拿到的往往就是地雷,2017/1/20 11:16,负向,-1
4.7年,股友ePAeMb9558,浦发银行(600000.sh),复盘补跌，以后就正常了,复盘补跌，以后就正常了,2017/9/26 21:25,中性,0
7.5年,月亮太阳pzw223,浦发银行(600000.sh),众多个股均被产业资本清仓式甩卖,众多个股均被产业资本清仓式甩卖,2017/7/3 11:13,负向,-1
8.6年,昌盛达6246,浦发银行(600000.sh),公司发展战略,公司发展战略,2018/6/28 12:24,中性,0
6.1年,猎手看盘,浦发银行(600000.sh),此票日线无底部，所以上涨动能不大。目前30分钟线上方构成头部，而底部并未形成，需要继续向下刷新30分钟线新低。,此票日线无底部，所以上涨动能不大。目前30分钟线上方构成头部，而底部并未形成，需要继续向下刷新30分钟线新低。,2019/3/18 9:21,负向,-1
8.1年,sczg7068,浦发银行(600000.sh),谁都不服就服你不涨,谁都不服就服你不涨,2018/5/31 20:30,负向,-1
7.6年,adfsgv5870,浦发银行(600000.sh),维生素D3价格上涨5倍有望冲破历史高位受益股,一根穿云箭，千军万马来相见。老乡别跑……嘻嘻,2017/8/14 16:06,正向,1
9年,shazhumairou00,浦发银行(600000.sh),批发价昆药集团中医第一股，买到就是赚到,该换药了，批发价600422昆药集团中医第一股，买到就是赚到,2017/7/12 14:05,正向,1
8.3年,木子81295,浦发银行(600000.sh),资本市场研究人士：问题股与恶庄股闪崩跌出了市场正气,最近，A股闪崩个股不断，笔者认为，在目前监管趋严、投资风格逐渐向价值投资转换阶段，一些过度偏离内在价值的个股出现闪崩，实质是价值回归。,2017/7/14 20:36,负向,-1
4.4年,股友cZ75Je8907,浦发银行(600000.sh),海辰药业,海辰药业,2017/12/28 16:08,中性,0
5.8年,彰德茶庄,浦发银行(600000.sh),分红都说了快两个月了。难道就不打算兑现吗浦发银行这两个月跌了多少靠,分红都说了快两个月了。难道就不打算兑现吗？浦发银行这两个月跌了多少？靠,2017/5/17 1:01,负向,-1
4.3年,股友KggC1d6330,浦发银行(600000.sh),中国银监会竟然批准造假的浦发银行公司注册资本扩充到290亿,坑害投资者,2018/1/28 9:46,负向,-1
6.7年,塞天材9512,浦发银行(600000.sh),今日大盘走出了震荡调整的行情。,今日大盘走出了震荡调整的行情。,2017/11/2 16:48,正向,1
5.6年,叉济年449174,浦发银行(600000.sh),本没什么本没什么,本没什么本没什么,2017/3/22 14:38,负向,-1
7.1年,深沉大叔,浦发银行(600000.sh),千万别把自己当根葱,在吧里天天炫，总有一天撞南墙,2017/6/13 20:06,负向,-1
4.3年,蒙在股里48824731,浦发银行(600000.sh),节后会不会像格力一样跌停啊。,节后会不会像格力一样跌停啊。,2018/4/28 13:51,负向,-1
6.8年,普鲁没有呼吸4418,浦发银行(600000.sh),股潜力大,股潜力大,2016/6/8 10:11,正向,1
6.8年,四面方,浦发银行(600000.sh),对资产负债率较高,对资产负债率较高,2017/1/2 12:32,负向,-1
7.3年,陆菊和4302,浦发银行(600000.sh),而这可能导致炼油厂所加工的石油将有更多来自委内瑞拉,而这可能导致炼油厂所加工的石油将有更多来自委内瑞拉,2016/11/24 17:34,中性,0
7.6年,平安牛市,浦发银行(600000.sh),浦发现在是寡头和散户在玩,浦发现在是寡头和散户在玩,2019/8/21 13:22,中性,0
5.1年,周世凯,浦发银行(600000.sh),浦发现在该贪婪还是恐惧在机构贪婪时卖出，在恐惧时买入。还会测试前低吗,浦发现在该贪婪还是恐惧？在机构贪婪时卖出，在恐惧时买入。还会测试前低吗？,2017/7/29 11:51,负向,-1
7.1年,我很好7zdu5o2751,浦发银行(600000.sh),上海信托迟早要独立上市,上海国际一定会这样做。,2016/11/29 15:50,正向,1
3.3年,年年亨通地向问天,浦发银行(600000.sh),死拿闲庭先生的二康，等待翻番。,死拿闲庭先生的二康，等待翻番。,2019/3/4 17:31,正向,1
7.4年,尉迟楚嫣9604,浦发银行(600000.sh),什么股都涨，就不涨银行,什么股都涨，就不涨银行,2016/3/21 10:58,负向,-1
13年,冬笋匪盗斯sad,浦发银行(600000.sh),大单净流入超亿元,大单净流入超亿元,2016/8/15 9:30,正向,1
6.7年,访治携衰坏0381,浦发银行(600000.sh),银行保,银行、保,2017/6/2 15:53,中性,0
