stock_code,up,down
300059,0.5,0.5
300750,0.602,0.398
600000,0.6,0.4
600009,0.6,0.4
600016,0.6,0.4
600028,0.6071428571428571,0.39285714285714285
600030,0.59,0.41
600031,0.52,0.48
600036,0.55,0.45
600048,0.52,0.48
600050,0.52,0.48
600104,0.6,0.4
600196,0.52,0.48
600276,0.602,0.398
600309,0.6,0.4
600438,0.52,0.48
600519,0.55,0.45
600547,0.6,0.4
600570,0.5,0.5
600585,0.55,0.45
600588,0.2,0.8
600690,0.5,0.5
600703,0.3,0.7
600745,0.52,0.48
600809,0.6,0.4
600837,0.52,0.48
600887,0.5,0.5
600893,0.6,0.4
600918,0.52,0.48
601012,0.4,0.6
601066,0.52,0.48
601088,0.5,0.5
601138,0.55,0.45
601166,0.6,0.4
601211,0.52,0.48
601288,0.6,0.4
601318,0.52,0.48
601336,0.4,0.6
601398,0.6,0.4
601601,0.52,0.48
601628,0.6,0.4
601668,0.7,0.3
601688,0.5,0.5
601818,0.55,0.45
601857,0.52,0.48
601888,0.52,0.48
601899,0.52,0.48
601995,0.52,0.48
603259,0.55,0.45
603288,0.52,0.48
603501,0.602,0.398
603986,0.604,0.396
