评论标题,评论内容,标签
国家队上班了,历史大底部,中性
中国股市为什么不实行T0，到底是保护谁,做数据，造假象，呵呵呵……,负向
最大可能，证金倒手给安邦,最大可能，证金倒手给安邦,中性
保监会副主席黄洪：目前社会关注的税延型养老保险的试点方案，已经国务院批准同意，现在正在部委走流程。,保监会副主席黄洪：目前社会关注的税延型养老保险的试点方案，已经国务院批准同意，现在正在部委走流程。,中性
赚钱重要的是时间,赚钱重要的是时间,正向
浦发银行600000，2018年终分红知多少,我们都知道：浦发银行（600000）即将公布业绩，浦发银行作为沪深两市有名的马股绩优大盘股，分红要能体现其地位和影响力。我以为，分红预案能是案10送1派7元现金为好。,正向
为啥一直跌哭,为啥一直跌[哭],负向
早点死，早点投胎,早点死，早点投胎,负向
千年不变的磨叽王，那些整天叫分红的高兴了吗,千年不变的磨叽王，那些整天叫分红的高兴了吗,负向
关注：泰豪科技600590半年报增87%股权激励二级市场回购股票3%,关注：泰豪科技 600590 半年报增87% 股权激励二级市场回购股票3% 军工装备 智慧能源！,中性
滥股,滥股,负向
明天要暴涨了，等了这么久，累死了,辛苦了各位,正向
美股今晚爆涨！明天高开是肯定的，只是高开低走还是高开高走难说！,美股今晚爆涨！明天高开是肯定的，只是高开低走还是高开高走难说！,中性
茅台已经不再是酒了,茅台已经不再是酒了,中性
很想念那个秦岭牛,好长时间没见到他了？谁知道他？,中性
30已到40还会远吗,万华化学是全球MDI生产龙头，MDI产能从2000年的4万吨扩大到2016年的180万吨，占国内产能294万吨的一半以上，从名不见经传到全球NO.1。MDI是高毒性高风险产品，对环保、安全压力巨大，在欧美大规模扩产的可能性不大，同时MDI需要强大的石油化工基础来就地配套支撑，其他...,中性
不到50元，我就不走，厉害搞到15元,不到50元，我就不走，厉害搞到15元,正向
给已阅读2016上一课，欢迎各位股友旁听。,我是贝尔格里尔斯，曾服役于英国特种部队，我曾登上珠穆朗玛峰顶，也曾穿越冰冷刺骨的北冰洋。 我将向你展示怎样才能在地球上某些最极端最危险的地方求生，我还要面对干‘已阅读2016’它娘一个星期的艰苦挑战，在那种地方，如果没有适当的求生技能，你连一天也坚持不了。 今天我们来到的地方叫“...,正向
说实在的三安这波走的很强，两根大阳线拉起来，调整都是强势调整，没有上车的机会。,说实在的三安这波走的很强，两根大阳线拉起来，调整都是强势调整，没有上车的机会。,正向
其实中石化现在可以买了，全仓都是可以的，真的太低了，不一定到最低，但是差不多了，,其实中石化现在可以买了，全仓都是可以的，真的太低了，不一定到最低，但是差不多了，未来几年后茅台表现绝对是至少腰斩，而石化可能要涨50%，,正向
